filter,pool_name,fee_percent,has_rewards,volume_24h,liquidity,fees_24h,apr_24h,epoch_time
All Pools,AVAX - USDC,0.05,True,21921589.0,15409627.0,11620.0,31.81,1764721804
All Pools,AUSD - USDt,0.01,True,7947097.0,1299385.0,795.0,26.94,1764721804
All Pools,AUSD - USDC,0.01,True,7400063.0,1462083.0,740.35,22.58,1764721804
All Pools,USDt - USDC,0.005,True,2015942.0,2649915.0,141.37,7.67,1764721804
All Pools,XAUt0 - USDt,0.04,True,890662.0,335863.0,392.14,87.31,1764721804
All Pools,AVAX - BTC.b,0.05,True,623999.0,977201.0,330.3,505.14,1764721804
All Pools,AUSD - AVAX,0.1,True,569060.0,135418.0,581.74,436.96,1764721804
All Pools,EURC - AVAX,0.1,False,516608.0,1080125.0,528.05,17.84,1764721804
All Pools,YBTC.B - WBTC,0.01,False,508433.0,457136.0,51.0,4.07,1764721804
All Pools,EURC - USDC,0.03,True,375858.0,1567159.0,114.02,22.7,1764721804
All Pools,USDt - USDC,0.01,False,314854.0,221778.0,26.81,4.41,1764721804
All Pools,sAVAX - AVAX,0.01,True,304582.0,306739.0,30.77,15.46,1764721804
All Pools,BTC.b - USDC,0.05,False,215646.0,892773.0,113.06,4.62,1764721804
All Pools,WETH.e - AVAX,0.25,False,130339.0,1413090.0,327.32,8.45,1764721804
All Pools,COQ - AVAX,0.01,False,104883.0,671462.0,10.48,0.57,1764721804
All Pools,COQ - AVAX,0.3,False,82739.0,936588.0,206.85,8.06,1764721804
All Pools,WBTC.e - BTC.b,0.03,False,58548.0,387659.0,17.84,1.68,1764721804
All Pools,savUSD - avUSD,0.02,True,57784.0,2737869.0,11.57,2.88,1764721804
All Pools,ggAVAX - AVAX,0.04,True,51190.0,198605.0,5.119,18.69,1764721804
All Pools,sUSDe - USDC,0.1,True,48807.0,2673058.0,48.83,8.13,1764721804
All Pools,GMX - AVAX,0.3,False,42038.0,1239947.0,105.1,3.09,1764721804
All Pools,JPYC - USDC,0.04,True,38003.0,56480.0,15.81,83.13,1764721804
All Pools,XSGD - USDC,0.05,True,37590.0,54416.0,20.48,33.96,1764721804
All Pools,AVAX - REYA,0.3,False,37572.0,614694830545.0,93.93,,1764721804
All Pools,USDC.e - USDC,0.02,False,32491.0,25530.0,3.255,4.65,1764721804
All Pools,MIM - AVAX,0.3,False,32297.0,677956.0,80.74,4.35,1764721804
All Pools,AVAX - USDT.e,0.3,False,30121.0,664276.0,75.3,4.14,1764721804
All Pools,AVAX - ZKP,0.3,False,29272.0,13022.0,73.18,205.12,1764721804
All Pools,NXPC - AVAX,0.3,False,28346.0,341278.0,70.87,7.58,1764721804
All Pools,AVAX - USDC,0.3,False,26632.0,489241.0,66.58,4.97,1764721804
All Pools,LCPEDU - USDt,0.8,False,26550.0,14151420.0,0.00128,,1764721804
All Pools,GUN - AVAX,0.25,False,25931.0,289789.0,65.17,8.21,1764721804
All Pools,USDC.e - AVAX,0.3,False,25292.0,516662.0,63.23,4.47,1764721804
All Pools,AVAX - USDC,0.2,False,24871.0,440321.0,50.47,4.18,1764721804
All Pools,USDT.e - USDC,0.02,False,24237.0,61966.0,4.87,2.87,1764721804
All Pools,DAI.e - USDC,0.02,False,23458.0,28015.0,4.791,6.24,1764721804
All Pools,FOLKS - AVAX,0.25,False,23318.0,78684.0,88.11,40.87,1764721804
All Pools,SOL - AVAX,0.3,False,22895.0,674500.0,57.24,3.1,1764721804
All Pools,GUN - AVAX,0.1,False,21994.0,45724.0,22.64,18.07,1764721804
All Pools,AVAX - USDt,0.2,False,21927.0,171552.0,44.37,9.44,1764721804
All Pools,w3ULL - AVAX,0.3,False,21370.0,112946.0,53.42,17.26,1764721804
All Pools,AAVE.e - AVAX,0.3,False,21140.0,519692.0,52.85,3.71,1764721804
All Pools,USDT.e - USDt,0.02,False,17850.0,43963.0,3.638,3.02,1764721804
All Pools,JOE - AVAX,0.3,False,16998.0,792636.0,42.5,1.96,1764721804
All Pools,ORNG - AVAX,0.3,False,15571.0,44009.0,38.93,32.29,1764721804
All Pools,gOHM - AVAX,0.3,False,15190.0,202321.0,37.97,6.85,1764721804
All Pools,WETH.e - AVAX,0.3,False,14593.0,682440.0,36.48,1.95,1764721804
All Pools,ALOT - AVAX,0.3,False,13272.0,416211.0,33.18,2.91,1764721804
All Pools,USDC - XAVA,0.3,False,12555.0,362140.0,31.39,3.16,1764721804
All Pools,JOE - USDC.e,0.3,False,11806.0,407160.0,29.52,2.65,1764721804
All Pools,SIERRA - USDC,0.1,True,11297.0,690831.0,11.3,33.78,1764721804
All Pools,AVAX - USDC,0.2,False,10208.0,19060.0,20.68,39.59,1764721804
All Pools,SHRAP - AVAX,0.4,False,9792.02,24722.0,82.06,121.16,1764721804
All Pools,QI - AVAX,0.3,False,9447.8,435003.0,23.62,1.98,1764721804
All Pools,AVAX - avUSD,0.25,True,8701.52,4168.12,28.42,2108.28,1764721804
All Pools,JOE - AVAX,0.15,False,8024.36,109660.0,12.12,4.03,1764721804
All Pools,AVAX - GEC,0.3,False,7976.66,64206.0,19.94,11.34,1764721804
All Pools,BEAM - AVAX,0.25,True,7923.87,32768.0,20.51,542.76,1764721804
All Pools,GGP - AVAX,0.3,False,7781.23,403238.0,19.45,1.76,1764721804
All Pools,WETH.e - AVAX,0.05,False,7716.9,1167214.0,4.148,0.13,1764721804
All Pools,XAUt0 - USDC,0.25,False,7659.2,9137.83,19.31,77.13,1764721804
All Pools,AVAX - JUICE,0.3,False,7482.93,24276.0,18.71,28.13,1764721804
All Pools,NXUSD - WXT,0.3,False,6924.67,801926.0,17.31,0.79,1764721804
All Pools,BEAM - AVAX,0.3,False,6823.88,149898.0,17.06,4.15,1764721804
All Pools,BEAM - USDC,0.3,False,5838.28,93878.0,14.6,5.67,1764721804
All Pools,AVAX - CLY,0.3,False,5020.11,501164.0,12.55,0.91,1764721804
All Pools,YAK - AVAX,0.3,False,4433.2,267973.0,11.08,1.51,1764721804
All Pools,LINK.e - AVAX,0.3,False,4405.17,70340.0,11.01,5.71,1764721804
All Pools,KET - AVAX,0.01,False,4242.42,243057.0,0.4234,0.06,1764721804
All Pools,WBTC.e - AVAX,0.3,False,4032.66,223291.0,10.08,1.65,1764721804
All Pools,SolvBTC - BTC.b,0.04,False,3790.76,376803.0,1.587,0.15,1764721804
